Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
182.33	0.087837	1237.4	0.00080818	-0.18142	-0.17830	-0.96900	42.295	75.603	1149.6	-0.26723	undefined	undefined	0.024294	2.6115	0.38292	14.931	16.411	90.017	25.545	34.993	211.93	44.590	undefined	undefined
182.54	0.088990	1236.7	0.00080858	-0.16541	-0.16225	-0.88125	42.282	75.607	1148.2	-0.26690	undefined	undefined	0.024243	2.6434	0.37831	14.935	16.417	89.942	25.569	35.028	212.01	44.444	undefined	undefined
182.75	0.090155	1236.1	0.00080899	-0.14941	-0.14620	-0.79360	42.269	75.612	1146.9	-0.26656	undefined	undefined	0.024192	2.6755	0.37377	14.939	16.422	89.867	25.592	35.063	212.09	44.299	undefined	undefined
182.97	0.091332	1235.5	0.00080940	-0.13340	-0.13014	-0.70604	42.256	75.617	1145.5	-0.26623	undefined	undefined	0.024141	2.7079	0.36929	14.944	16.428	89.792	25.616	35.097	212.17	44.154	undefined	undefined
183.18	0.092521	1234.9	0.00080980	-0.11739	-0.11409	-0.61858	42.243	75.622	1144.1	-0.26589	undefined	undefined	0.024090	2.7406	0.36488	14.948	16.434	89.718	25.639	35.132	212.24	44.010	undefined	undefined
183.39	0.093722	1234.2	0.00081021	-0.10138	-0.098034	-0.53121	42.230	75.627	1142.8	-0.26554	undefined	undefined	0.024039	2.7736	0.36054	14.952	16.439	89.644	25.663	35.168	212.32	43.867	undefined	undefined
183.60	0.094936	1233.6	0.00081062	-0.085365	-0.081978	-0.44395	42.217	75.632	1141.4	-0.26520	undefined	undefined	0.023988	2.8070	0.35626	14.956	16.445	89.570	25.686	35.203	212.40	43.723	undefined	undefined
183.81	0.096162	1233.0	0.00081103	-0.069352	-0.065920	-0.35678	42.204	75.637	1140.0	-0.26485	undefined	undefined	0.023937	2.8406	0.35204	14.960	16.450	89.496	25.710	35.238	212.48	43.581	undefined	undefined
184.03	0.097400	1232.4	0.00081144	-0.053339	-0.049861	-0.26970	42.192	75.642	1138.7	-0.26450	undefined	undefined	0.023887	2.8746	0.34788	14.965	16.456	89.423	25.734	35.274	212.56	43.439	undefined	undefined
184.24	0.098651	1231.8	0.00081185	-0.037325	-0.033800	-0.18272	42.179	75.648	1137.3	-0.26415	undefined	undefined	0.023836	2.9089	0.34378	14.969	16.461	89.350	25.758	35.310	212.63	43.297	undefined	undefined
184.45	0.099915	1231.1	0.00081226	-0.021310	-0.017738	-0.095834	42.166	75.653	1135.9	-0.26380	undefined	undefined	0.023785	2.9435	0.33974	14.973	16.467	89.277	25.782	35.345	212.71	43.156	undefined	undefined
184.66	0.10119	1230.5	0.00081267	-0.0052943	-0.0016749	-0.0090438	42.154	75.659	1134.6	-0.26345	undefined	undefined	0.023734	2.9784	0.33575	14.977	16.473	89.204	25.806	35.381	212.79	43.016	undefined	undefined
184.87	0.10248	1229.9	0.00081308	0.010723	0.014390	0.077653	42.141	75.665	1133.2	-0.26309	undefined	undefined	0.023683	3.0136	0.33183	14.981	16.478	89.132	25.830	35.418	212.86	42.876	undefined	undefined
185.09	0.10378	1229.3	0.00081350	0.026740	0.030456	0.16425	42.129	75.671	1131.8	-0.26273	undefined	undefined	0.023633	3.0492	0.32796	14.986	16.484	89.059	25.854	35.454	212.94	42.736	undefined	undefined
185.30	0.10510	1228.6	0.00081391	0.042759	0.046524	0.25076	42.116	75.678	1130.5	-0.26237	undefined	undefined	0.023582	3.0851	0.32414	14.990	16.489	88.987	25.878	35.490	213.02	42.597	undefined	undefined
185.51	0.10643	1228.0	0.00081432	0.058779	0.062593	0.33718	42.104	75.684	1129.1	-0.26200	undefined	undefined	0.023531	3.1213	0.32038	14.994	16.495	88.916	25.902	35.527	213.09	42.459	undefined	undefined
185.72	0.10777	1227.4	0.00081474	0.074800	0.078664	0.42350	42.091	75.690	1127.7	-0.26164	undefined	undefined	0.023481	3.1578	0.31667	14.998	16.500	88.844	25.926	35.563	213.17	42.321	undefined	undefined
